,음식,구간,label
0,"('기장밥', '사과', '과일샐러드')",5,168
1,"('기장밥', '사과', '마늘쫑무침')",1,172
2,"('기장밥', '사과', '두부조림')",3,171
3,"('기장밥', '사과', '건취나물무침')",2,165
4,"('기장밥', '사과', '고구마줄기나물무침')",2,167
5,"('기장밥', '사과', '시금치나물무침')",1,174
6,"('기장밥', '사과', '달걀프라이')",5,169
7,"('기장밥', '사과', '닭가슴살샐러드')",7,170
8,"('기장밥', '사과', '고구마맛탕')",11,166
9,"('기장밥', '사과', '채소샐러드')",8,175
10,"('기장밥', '사과', '쇠고기수육')",11,173
11,"('기장밥', '포도', '과일샐러드')",6,223
12,"('기장밥', '포도', '마늘쫑무침')",2,227
13,"('기장밥', '포도', '두부조림')",3,226
14,"('기장밥', '포도', '건취나물무침')",2,220
15,"('기장밥', '포도', '고구마줄기나물무침')",2,222
16,"('기장밥', '포도', '시금치나물무침')",2,229
17,"('기장밥', '포도', '달걀프라이')",5,224
18,"('기장밥', '포도', '닭가슴살샐러드')",8,225
19,"('기장밥', '포도', '고구마맛탕')",11,221
20,"('기장밥', '포도', '채소샐러드')",8,230
21,"('기장밥', '포도', '쇠고기수육')",11,228
22,"('기장밥', '오렌지', '과일샐러드')",6,201
23,"('기장밥', '오렌지', '마늘쫑무침')",2,205
24,"('기장밥', '오렌지', '두부조림')",3,204
25,"('기장밥', '오렌지', '건취나물무침')",2,198
26,"('기장밥', '오렌지', '고구마줄기나물무침')",2,200
27,"('기장밥', '오렌지', '시금치나물무침')",2,207
28,"('기장밥', '오렌지', '달걀프라이')",5,202
29,"('기장밥', '오렌지', '닭가슴살샐러드')",7,203
30,"('기장밥', '오렌지', '고구마맛탕')",11,199
31,"('기장밥', '오렌지', '채소샐러드')",8,208
32,"('기장밥', '오렌지', '쇠고기수육')",11,206
33,"('기장밥', '딸기', '과일샐러드')",4,157
34,"('기장밥', '딸기', '마늘쫑무침')",1,161
35,"('기장밥', '딸기', '두부조림')",2,160
36,"('기장밥', '딸기', '건취나물무침')",1,154
37,"('기장밥', '딸기', '고구마줄기나물무침')",1,156
38,"('기장밥', '딸기', '시금치나물무침')",1,163
39,"('기장밥', '딸기', '달걀프라이')",3,158
40,"('기장밥', '딸기', '닭가슴살샐러드')",6,159
41,"('기장밥', '딸기', '고구마맛탕')",10,155
42,"('기장밥', '딸기', '채소샐러드')",7,164
43,"('기장밥', '딸기', '쇠고기수육')",11,162
44,"('기장밥', '수정과', '과일샐러드')",8,179
45,"('기장밥', '수정과', '마늘쫑무침')",4,183
46,"('기장밥', '수정과', '두부조림')",6,182
47,"('기장밥', '수정과', '건취나물무침')",5,176
48,"('기장밥', '수정과', '고구마줄기나물무침')",5,178
49,"('기장밥', '수정과', '시금치나물무침')",4,185
50,"('기장밥', '수정과', '달걀프라이')",7,180
51,"('기장밥', '수정과', '닭가슴살샐러드')",9,181
52,"('기장밥', '수정과', '고구마맛탕')",12,177
53,"('기장밥', '수정과', '채소샐러드')",9,186
54,"('기장밥', '수정과', '쇠고기수육')",12,184
55,"('기장밥', '식혜', '과일샐러드')",7,190
56,"('기장밥', '식혜', '마늘쫑무침')",4,194
57,"('기장밥', '식혜', '두부조림')",6,193
58,"('기장밥', '식혜', '건취나물무침')",5,187
59,"('기장밥', '식혜', '고구마줄기나물무침')",4,189
60,"('기장밥', '식혜', '시금치나물무침')",4,196
61,"('기장밥', '식혜', '달걀프라이')",7,191
62,"('기장밥', '식혜', '닭가슴살샐러드')",9,192
63,"('기장밥', '식혜', '고구마맛탕')",12,188
64,"('기장밥', '식혜', '채소샐러드')",9,197
65,"('기장밥', '식혜', '쇠고기수육')",12,195
66,"('기장밥', '찐감자', '과일샐러드')",8,212
67,"('기장밥', '찐감자', '마늘쫑무침')",4,216
68,"('기장밥', '찐감자', '두부조림')",6,215
69,"('기장밥', '찐감자', '건취나물무침')",5,209
70,"('기장밥', '찐감자', '고구마줄기나물무침')",5,211
71,"('기장밥', '찐감자', '시금치나물무침')",5,218
72,"('기장밥', '찐감자', '달걀프라이')",7,213
73,"('기장밥', '찐감자', '닭가슴살샐러드')",9,214
74,"('기장밥', '찐감자', '고구마맛탕')",12,210
75,"('기장밥', '찐감자', '채소샐러드')",10,219
76,"('기장밥', '찐감자', '쇠고기수육')",12,217
77,"('검정콩밥', '사과', '과일샐러드')",5,14
78,"('검정콩밥', '사과', '마늘쫑무침')",1,18
79,"('검정콩밥', '사과', '두부조림')",3,17
80,"('검정콩밥', '사과', '건취나물무침')",2,11
81,"('검정콩밥', '사과', '고구마줄기나물무침')",2,13
82,"('검정콩밥', '사과', '시금치나물무침')",1,20
83,"('검정콩밥', '사과', '달걀프라이')",5,15
84,"('검정콩밥', '사과', '닭가슴살샐러드')",7,16
85,"('검정콩밥', '사과', '고구마맛탕')",11,12
86,"('검정콩밥', '사과', '채소샐러드')",8,21
87,"('검정콩밥', '사과', '쇠고기수육')",11,19
88,"('검정콩밥', '포도', '과일샐러드')",6,69
89,"('검정콩밥', '포도', '마늘쫑무침')",2,73
90,"('검정콩밥', '포도', '두부조림')",3,72
91,"('검정콩밥', '포도', '건취나물무침')",2,66
92,"('검정콩밥', '포도', '고구마줄기나물무침')",2,68
93,"('검정콩밥', '포도', '시금치나물무침')",2,75
94,"('검정콩밥', '포도', '달걀프라이')",5,70
95,"('검정콩밥', '포도', '닭가슴살샐러드')",8,71
96,"('검정콩밥', '포도', '고구마맛탕')",11,67
97,"('검정콩밥', '포도', '채소샐러드')",8,76
98,"('검정콩밥', '포도', '쇠고기수육')",11,74
99,"('검정콩밥', '오렌지', '과일샐러드')",6,47
100,"('검정콩밥', '오렌지', '마늘쫑무침')",2,51
101,"('검정콩밥', '오렌지', '두부조림')",3,50
102,"('검정콩밥', '오렌지', '건취나물무침')",2,44
103,"('검정콩밥', '오렌지', '고구마줄기나물무침')",2,46
104,"('검정콩밥', '오렌지', '시금치나물무침')",2,53
105,"('검정콩밥', '오렌지', '달걀프라이')",5,48
106,"('검정콩밥', '오렌지', '닭가슴살샐러드')",7,49
107,"('검정콩밥', '오렌지', '고구마맛탕')",11,45
108,"('검정콩밥', '오렌지', '채소샐러드')",8,54
109,"('검정콩밥', '오렌지', '쇠고기수육')",11,52
110,"('검정콩밥', '딸기', '과일샐러드')",4,3
111,"('검정콩밥', '딸기', '마늘쫑무침')",1,7
112,"('검정콩밥', '딸기', '두부조림')",2,6
113,"('검정콩밥', '딸기', '건취나물무침')",1,0
114,"('검정콩밥', '딸기', '고구마줄기나물무침')",1,2
115,"('검정콩밥', '딸기', '시금치나물무침')",1,9
116,"('검정콩밥', '딸기', '달걀프라이')",3,4
117,"('검정콩밥', '딸기', '닭가슴살샐러드')",6,5
118,"('검정콩밥', '딸기', '고구마맛탕')",10,1
119,"('검정콩밥', '딸기', '채소샐러드')",7,10
120,"('검정콩밥', '딸기', '쇠고기수육')",11,8
121,"('검정콩밥', '수정과', '과일샐러드')",8,25
122,"('검정콩밥', '수정과', '마늘쫑무침')",4,29
123,"('검정콩밥', '수정과', '두부조림')",6,28
124,"('검정콩밥', '수정과', '건취나물무침')",5,22
125,"('검정콩밥', '수정과', '고구마줄기나물무침')",4,24
126,"('검정콩밥', '수정과', '시금치나물무침')",4,31
127,"('검정콩밥', '수정과', '달걀프라이')",7,26
128,"('검정콩밥', '수정과', '닭가슴살샐러드')",9,27
129,"('검정콩밥', '수정과', '고구마맛탕')",12,23
130,"('검정콩밥', '수정과', '채소샐러드')",9,32
131,"('검정콩밥', '수정과', '쇠고기수육')",12,30
132,"('검정콩밥', '식혜', '과일샐러드')",7,36
133,"('검정콩밥', '식혜', '마늘쫑무침')",4,40
134,"('검정콩밥', '식혜', '두부조림')",6,39
135,"('검정콩밥', '식혜', '건취나물무침')",4,33
136,"('검정콩밥', '식혜', '고구마줄기나물무침')",4,35
137,"('검정콩밥', '식혜', '시금치나물무침')",4,42
138,"('검정콩밥', '식혜', '달걀프라이')",7,37
139,"('검정콩밥', '식혜', '닭가슴살샐러드')",9,38
140,"('검정콩밥', '식혜', '고구마맛탕')",12,34
141,"('검정콩밥', '식혜', '채소샐러드')",9,43
142,"('검정콩밥', '식혜', '쇠고기수육')",12,41
143,"('검정콩밥', '찐감자', '과일샐러드')",8,58
144,"('검정콩밥', '찐감자', '마늘쫑무침')",4,62
145,"('검정콩밥', '찐감자', '두부조림')",6,61
146,"('검정콩밥', '찐감자', '건취나물무침')",5,55
147,"('검정콩밥', '찐감자', '고구마줄기나물무침')",5,57
148,"('검정콩밥', '찐감자', '시금치나물무침')",4,64
149,"('검정콩밥', '찐감자', '달걀프라이')",7,59
150,"('검정콩밥', '찐감자', '닭가슴살샐러드')",9,60
151,"('검정콩밥', '찐감자', '고구마맛탕')",12,56
152,"('검정콩밥', '찐감자', '채소샐러드')",10,65
153,"('검정콩밥', '찐감자', '쇠고기수육')",12,63
154,"('보리밥', '사과', '과일샐러드')",5,245
155,"('보리밥', '사과', '마늘쫑무침')",1,249
156,"('보리밥', '사과', '두부조림')",2,248
157,"('보리밥', '사과', '건취나물무침')",1,242
158,"('보리밥', '사과', '고구마줄기나물무침')",1,244
159,"('보리밥', '사과', '시금치나물무침')",1,251
160,"('보리밥', '사과', '달걀프라이')",4,246
161,"('보리밥', '사과', '닭가슴살샐러드')",7,247
162,"('보리밥', '사과', '고구마맛탕')",11,243
163,"('보리밥', '사과', '채소샐러드')",8,252
164,"('보리밥', '사과', '쇠고기수육')",11,250
165,"('보리밥', '포도', '과일샐러드')",5,300
166,"('보리밥', '포도', '마늘쫑무침')",2,304
167,"('보리밥', '포도', '두부조림')",3,303
168,"('보리밥', '포도', '건취나물무침')",2,297
169,"('보리밥', '포도', '고구마줄기나물무침')",2,299
170,"('보리밥', '포도', '시금치나물무침')",2,306
171,"('보리밥', '포도', '달걀프라이')",5,301
172,"('보리밥', '포도', '닭가슴살샐러드')",7,302
173,"('보리밥', '포도', '고구마맛탕')",11,298
174,"('보리밥', '포도', '채소샐러드')",8,307
175,"('보리밥', '포도', '쇠고기수육')",11,305
176,"('보리밥', '오렌지', '과일샐러드')",5,278
177,"('보리밥', '오렌지', '마늘쫑무침')",1,282
178,"('보리밥', '오렌지', '두부조림')",3,281
179,"('보리밥', '오렌지', '건취나물무침')",2,275
180,"('보리밥', '오렌지', '고구마줄기나물무침')",2,277
181,"('보리밥', '오렌지', '시금치나물무침')",1,284
182,"('보리밥', '오렌지', '달걀프라이')",5,279
183,"('보리밥', '오렌지', '닭가슴살샐러드')",7,280
184,"('보리밥', '오렌지', '고구마맛탕')",11,276
185,"('보리밥', '오렌지', '채소샐러드')",8,285
186,"('보리밥', '오렌지', '쇠고기수육')",11,283
187,"('보리밥', '딸기', '과일샐러드')",3,234
188,"('보리밥', '딸기', '마늘쫑무침')",1,238
189,"('보리밥', '딸기', '두부조림')",1,237
190,"('보리밥', '딸기', '건취나물무침')",1,231
191,"('보리밥', '딸기', '고구마줄기나물무침')",1,233
192,"('보리밥', '딸기', '시금치나물무침')",1,240
193,"('보리밥', '딸기', '달걀프라이')",3,235
194,"('보리밥', '딸기', '닭가슴살샐러드')",6,236
195,"('보리밥', '딸기', '고구마맛탕')",10,232
196,"('보리밥', '딸기', '채소샐러드')",7,241
197,"('보리밥', '딸기', '쇠고기수육')",10,239
198,"('보리밥', '수정과', '과일샐러드')",7,256
199,"('보리밥', '수정과', '마늘쫑무침')",3,260
200,"('보리밥', '수정과', '두부조림')",5,259
201,"('보리밥', '수정과', '건취나물무침')",4,253
202,"('보리밥', '수정과', '고구마줄기나물무침')",4,255
203,"('보리밥', '수정과', '시금치나물무침')",3,262
204,"('보리밥', '수정과', '달걀프라이')",7,257
205,"('보리밥', '수정과', '닭가슴살샐러드')",9,258
206,"('보리밥', '수정과', '고구마맛탕')",12,254
207,"('보리밥', '수정과', '채소샐러드')",9,263
208,"('보리밥', '수정과', '쇠고기수육')",12,261
209,"('보리밥', '식혜', '과일샐러드')",7,267
210,"('보리밥', '식혜', '마늘쫑무침')",3,271
211,"('보리밥', '식혜', '두부조림')",5,270
212,"('보리밥', '식혜', '건취나물무침')",4,264
213,"('보리밥', '식혜', '고구마줄기나물무침')",4,266
214,"('보리밥', '식혜', '시금치나물무침')",3,273
215,"('보리밥', '식혜', '달걀프라이')",7,268
216,"('보리밥', '식혜', '닭가슴살샐러드')",9,269
217,"('보리밥', '식혜', '고구마맛탕')",12,265
218,"('보리밥', '식혜', '채소샐러드')",9,274
219,"('보리밥', '식혜', '쇠고기수육')",12,272
220,"('보리밥', '찐감자', '과일샐러드')",7,289
221,"('보리밥', '찐감자', '마늘쫑무침')",4,293
222,"('보리밥', '찐감자', '두부조림')",6,292
223,"('보리밥', '찐감자', '건취나물무침')",5,286
224,"('보리밥', '찐감자', '고구마줄기나물무침')",4,288
225,"('보리밥', '찐감자', '시금치나물무침')",4,295
226,"('보리밥', '찐감자', '달걀프라이')",7,290
227,"('보리밥', '찐감자', '닭가슴살샐러드')",9,291
228,"('보리밥', '찐감자', '고구마맛탕')",12,287
229,"('보리밥', '찐감자', '채소샐러드')",9,296
230,"('보리밥', '찐감자', '쇠고기수육')",12,294
231,"('수수밥', '사과', '과일샐러드')",5,322
232,"('수수밥', '사과', '마늘쫑무침')",1,326
233,"('수수밥', '사과', '두부조림')",2,325
234,"('수수밥', '사과', '건취나물무침')",1,319
235,"('수수밥', '사과', '고구마줄기나물무침')",1,321
236,"('수수밥', '사과', '시금치나물무침')",1,328
237,"('수수밥', '사과', '달걀프라이')",4,323
238,"('수수밥', '사과', '닭가슴살샐러드')",7,324
239,"('수수밥', '사과', '고구마맛탕')",11,320
240,"('수수밥', '사과', '채소샐러드')",8,329
241,"('수수밥', '사과', '쇠고기수육')",11,327
242,"('수수밥', '포도', '과일샐러드')",5,377
243,"('수수밥', '포도', '마늘쫑무침')",2,381
244,"('수수밥', '포도', '두부조림')",3,380
245,"('수수밥', '포도', '건취나물무침')",2,374
246,"('수수밥', '포도', '고구마줄기나물무침')",2,376
247,"('수수밥', '포도', '시금치나물무침')",2,383
248,"('수수밥', '포도', '달걀프라이')",5,378
249,"('수수밥', '포도', '닭가슴살샐러드')",7,379
250,"('수수밥', '포도', '고구마맛탕')",11,375
251,"('수수밥', '포도', '채소샐러드')",8,384
252,"('수수밥', '포도', '쇠고기수육')",11,382
253,"('수수밥', '오렌지', '과일샐러드')",5,355
254,"('수수밥', '오렌지', '마늘쫑무침')",1,359
255,"('수수밥', '오렌지', '두부조림')",3,358
256,"('수수밥', '오렌지', '건취나물무침')",2,352
257,"('수수밥', '오렌지', '고구마줄기나물무침')",2,354
258,"('수수밥', '오렌지', '시금치나물무침')",1,361
259,"('수수밥', '오렌지', '달걀프라이')",5,356
260,"('수수밥', '오렌지', '닭가슴살샐러드')",7,357
261,"('수수밥', '오렌지', '고구마맛탕')",11,353
262,"('수수밥', '오렌지', '채소샐러드')",8,362
263,"('수수밥', '오렌지', '쇠고기수육')",11,360
264,"('수수밥', '딸기', '과일샐러드')",3,311
265,"('수수밥', '딸기', '마늘쫑무침')",1,315
266,"('수수밥', '딸기', '두부조림')",1,314
267,"('수수밥', '딸기', '건취나물무침')",1,308
268,"('수수밥', '딸기', '고구마줄기나물무침')",1,310
269,"('수수밥', '딸기', '시금치나물무침')",1,317
270,"('수수밥', '딸기', '달걀프라이')",3,312
271,"('수수밥', '딸기', '닭가슴살샐러드')",6,313
272,"('수수밥', '딸기', '고구마맛탕')",10,309
273,"('수수밥', '딸기', '채소샐러드')",7,318
