,음식,구간,label
274,"('수수밥', '딸기', '쇠고기수육')",10,316
275,"('수수밥', '수정과', '과일샐러드')",7,333
276,"('수수밥', '수정과', '마늘쫑무침')",3,337
277,"('수수밥', '수정과', '두부조림')",5,336
278,"('수수밥', '수정과', '건취나물무침')",4,330
279,"('수수밥', '수정과', '고구마줄기나물무침')",4,332
280,"('수수밥', '수정과', '시금치나물무침')",3,339
281,"('수수밥', '수정과', '달걀프라이')",7,334
282,"('수수밥', '수정과', '닭가슴살샐러드')",9,335
283,"('수수밥', '수정과', '고구마맛탕')",12,331
284,"('수수밥', '수정과', '채소샐러드')",9,340
285,"('수수밥', '수정과', '쇠고기수육')",12,338
286,"('수수밥', '식혜', '과일샐러드')",7,344
287,"('수수밥', '식혜', '마늘쫑무침')",3,348
288,"('수수밥', '식혜', '두부조림')",5,347
289,"('수수밥', '식혜', '건취나물무침')",4,341
290,"('수수밥', '식혜', '고구마줄기나물무침')",4,343
291,"('수수밥', '식혜', '시금치나물무침')",3,350
292,"('수수밥', '식혜', '달걀프라이')",7,345
293,"('수수밥', '식혜', '닭가슴살샐러드')",9,346
294,"('수수밥', '식혜', '고구마맛탕')",12,342
295,"('수수밥', '식혜', '채소샐러드')",9,351
296,"('수수밥', '식혜', '쇠고기수육')",12,349
297,"('수수밥', '찐감자', '과일샐러드')",7,366
298,"('수수밥', '찐감자', '마늘쫑무침')",4,370
299,"('수수밥', '찐감자', '두부조림')",6,369
300,"('수수밥', '찐감자', '건취나물무침')",5,363
301,"('수수밥', '찐감자', '고구마줄기나물무침')",4,365
302,"('수수밥', '찐감자', '시금치나물무침')",4,372
303,"('수수밥', '찐감자', '달걀프라이')",7,367
304,"('수수밥', '찐감자', '닭가슴살샐러드')",9,368
305,"('수수밥', '찐감자', '고구마맛탕')",12,364
306,"('수수밥', '찐감자', '채소샐러드')",9,373
307,"('수수밥', '찐감자', '쇠고기수육')",12,371
308,"('곤드레나물밥', '사과', '과일샐러드')",10,91
309,"('곤드레나물밥', '사과', '마늘쫑무침')",8,95
310,"('곤드레나물밥', '사과', '두부조림')",8,94
311,"('곤드레나물밥', '사과', '건취나물무침')",8,88
312,"('곤드레나물밥', '사과', '고구마줄기나물무침')",8,90
313,"('곤드레나물밥', '사과', '시금치나물무침')",8,97
314,"('곤드레나물밥', '사과', '달걀프라이')",9,92
315,"('곤드레나물밥', '사과', '닭가슴살샐러드')",10,93
316,"('곤드레나물밥', '사과', '고구마맛탕')",13,89
317,"('곤드레나물밥', '사과', '채소샐러드')",10,98
318,"('곤드레나물밥', '사과', '쇠고기수육')",13,96
319,"('곤드레나물밥', '포도', '과일샐러드')",10,146
320,"('곤드레나물밥', '포도', '마늘쫑무침')",8,150
321,"('곤드레나물밥', '포도', '두부조림')",9,149
322,"('곤드레나물밥', '포도', '건취나물무침')",8,143
323,"('곤드레나물밥', '포도', '고구마줄기나물무침')",8,145
324,"('곤드레나물밥', '포도', '시금치나물무침')",8,152
325,"('곤드레나물밥', '포도', '달걀프라이')",10,147
326,"('곤드레나물밥', '포도', '닭가슴살샐러드')",10,148
327,"('곤드레나물밥', '포도', '고구마맛탕')",13,144
328,"('곤드레나물밥', '포도', '채소샐러드')",10,153
329,"('곤드레나물밥', '포도', '쇠고기수육')",13,151
330,"('곤드레나물밥', '오렌지', '과일샐러드')",10,124
331,"('곤드레나물밥', '오렌지', '마늘쫑무침')",8,128
332,"('곤드레나물밥', '오렌지', '두부조림')",9,127
333,"('곤드레나물밥', '오렌지', '건취나물무침')",8,121
334,"('곤드레나물밥', '오렌지', '고구마줄기나물무침')",8,123
335,"('곤드레나물밥', '오렌지', '시금치나물무침')",8,130
336,"('곤드레나물밥', '오렌지', '달걀프라이')",10,125
337,"('곤드레나물밥', '오렌지', '닭가슴살샐러드')",10,126
338,"('곤드레나물밥', '오렌지', '고구마맛탕')",13,122
339,"('곤드레나물밥', '오렌지', '채소샐러드')",10,131
340,"('곤드레나물밥', '오렌지', '쇠고기수육')",13,129
341,"('곤드레나물밥', '딸기', '과일샐러드')",9,80
342,"('곤드레나물밥', '딸기', '마늘쫑무침')",7,84
343,"('곤드레나물밥', '딸기', '두부조림')",8,83
344,"('곤드레나물밥', '딸기', '건취나물무침')",7,77
345,"('곤드레나물밥', '딸기', '고구마줄기나물무침')",7,79
346,"('곤드레나물밥', '딸기', '시금치나물무침')",7,86
347,"('곤드레나물밥', '딸기', '달걀프라이')",9,81
348,"('곤드레나물밥', '딸기', '닭가슴살샐러드')",10,82
349,"('곤드레나물밥', '딸기', '고구마맛탕')",13,78
350,"('곤드레나물밥', '딸기', '채소샐러드')",10,87
351,"('곤드레나물밥', '딸기', '쇠고기수육')",13,85
352,"('곤드레나물밥', '수정과', '과일샐러드')",10,102
353,"('곤드레나물밥', '수정과', '마늘쫑무침')",9,106
354,"('곤드레나물밥', '수정과', '두부조림')",10,105
355,"('곤드레나물밥', '수정과', '건취나물무침')",9,99
356,"('곤드레나물밥', '수정과', '고구마줄기나물무침')",9,101
357,"('곤드레나물밥', '수정과', '시금치나물무침')",9,108
358,"('곤드레나물밥', '수정과', '달걀프라이')",10,103
359,"('곤드레나물밥', '수정과', '닭가슴살샐러드')",11,104
360,"('곤드레나물밥', '수정과', '고구마맛탕')",13,100
361,"('곤드레나물밥', '수정과', '채소샐러드')",11,109
362,"('곤드레나물밥', '수정과', '쇠고기수육')",13,107
363,"('곤드레나물밥', '식혜', '과일샐러드')",10,113
364,"('곤드레나물밥', '식혜', '마늘쫑무침')",9,117
365,"('곤드레나물밥', '식혜', '두부조림')",10,116
366,"('곤드레나물밥', '식혜', '건취나물무침')",9,110
367,"('곤드레나물밥', '식혜', '고구마줄기나물무침')",9,112
368,"('곤드레나물밥', '식혜', '시금치나물무침')",9,119
369,"('곤드레나물밥', '식혜', '달걀프라이')",10,114
370,"('곤드레나물밥', '식혜', '닭가슴살샐러드')",11,115
371,"('곤드레나물밥', '식혜', '고구마맛탕')",13,111
372,"('곤드레나물밥', '식혜', '채소샐러드')",11,120
373,"('곤드레나물밥', '식혜', '쇠고기수육')",13,118
374,"('곤드레나물밥', '찐감자', '과일샐러드')",10,135
375,"('곤드레나물밥', '찐감자', '마늘쫑무침')",9,139
376,"('곤드레나물밥', '찐감자', '두부조림')",10,138
377,"('곤드레나물밥', '찐감자', '건취나물무침')",10,132
378,"('곤드레나물밥', '찐감자', '고구마줄기나물무침')",10,134
379,"('곤드레나물밥', '찐감자', '시금치나물무침')",9,141
380,"('곤드레나물밥', '찐감자', '달걀프라이')",10,136
381,"('곤드레나물밥', '찐감자', '닭가슴살샐러드')",11,137
382,"('곤드레나물밥', '찐감자', '고구마맛탕')",13,133
383,"('곤드레나물밥', '찐감자', '채소샐러드')",11,142
384,"('곤드레나물밥', '찐감자', '쇠고기수육')",13,140
385,"('흑미밥', '사과', '과일샐러드')",6,476
386,"('흑미밥', '사과', '마늘쫑무침')",2,480
387,"('흑미밥', '사과', '두부조림')",3,479
388,"('흑미밥', '사과', '건취나물무침')",2,473
389,"('흑미밥', '사과', '고구마줄기나물무침')",2,475
390,"('흑미밥', '사과', '시금치나물무침')",2,482
391,"('흑미밥', '사과', '달걀프라이')",5,477
392,"('흑미밥', '사과', '닭가슴살샐러드')",8,478
393,"('흑미밥', '사과', '고구마맛탕')",11,474
394,"('흑미밥', '사과', '채소샐러드')",8,483
395,"('흑미밥', '사과', '쇠고기수육')",11,481
396,"('흑미밥', '포도', '과일샐러드')",6,531
397,"('흑미밥', '포도', '마늘쫑무침')",2,535
398,"('흑미밥', '포도', '두부조림')",3,534
399,"('흑미밥', '포도', '건취나물무침')",3,528
400,"('흑미밥', '포도', '고구마줄기나물무침')",3,530
401,"('흑미밥', '포도', '시금치나물무침')",3,537
402,"('흑미밥', '포도', '달걀프라이')",6,532
403,"('흑미밥', '포도', '닭가슴살샐러드')",8,533
404,"('흑미밥', '포도', '고구마맛탕')",12,529
405,"('흑미밥', '포도', '채소샐러드')",8,538
406,"('흑미밥', '포도', '쇠고기수육')",12,536
407,"('흑미밥', '오렌지', '과일샐러드')",6,509
408,"('흑미밥', '오렌지', '마늘쫑무침')",2,513
409,"('흑미밥', '오렌지', '두부조림')",3,512
410,"('흑미밥', '오렌지', '건취나물무침')",3,506
411,"('흑미밥', '오렌지', '고구마줄기나물무침')",3,508
412,"('흑미밥', '오렌지', '시금치나물무침')",2,515
413,"('흑미밥', '오렌지', '달걀프라이')",6,510
414,"('흑미밥', '오렌지', '닭가슴살샐러드')",8,511
415,"('흑미밥', '오렌지', '고구마맛탕')",12,507
416,"('흑미밥', '오렌지', '채소샐러드')",8,516
417,"('흑미밥', '오렌지', '쇠고기수육')",12,514
418,"('흑미밥', '딸기', '과일샐러드')",5,465
419,"('흑미밥', '딸기', '마늘쫑무침')",1,469
420,"('흑미밥', '딸기', '두부조림')",2,468
421,"('흑미밥', '딸기', '건취나물무침')",1,462
422,"('흑미밥', '딸기', '고구마줄기나물무침')",1,464
423,"('흑미밥', '딸기', '시금치나물무침')",1,471
424,"('흑미밥', '딸기', '달걀프라이')",4,466
425,"('흑미밥', '딸기', '닭가슴살샐러드')",7,467
426,"('흑미밥', '딸기', '고구마맛탕')",11,463
427,"('흑미밥', '딸기', '채소샐러드')",8,472
428,"('흑미밥', '딸기', '쇠고기수육')",11,470
429,"('흑미밥', '수정과', '과일샐러드')",8,487
430,"('흑미밥', '수정과', '마늘쫑무침')",5,491
431,"('흑미밥', '수정과', '두부조림')",6,490
432,"('흑미밥', '수정과', '건취나물무침')",5,484
433,"('흑미밥', '수정과', '고구마줄기나물무침')",5,486
434,"('흑미밥', '수정과', '시금치나물무침')",5,493
435,"('흑미밥', '수정과', '달걀프라이')",8,488
436,"('흑미밥', '수정과', '닭가슴살샐러드')",9,489
437,"('흑미밥', '수정과', '고구마맛탕')",13,485
438,"('흑미밥', '수정과', '채소샐러드')",10,494
439,"('흑미밥', '수정과', '쇠고기수육')",13,492
440,"('흑미밥', '식혜', '과일샐러드')",8,498
441,"('흑미밥', '식혜', '마늘쫑무침')",5,502
442,"('흑미밥', '식혜', '두부조림')",6,501
443,"('흑미밥', '식혜', '건취나물무침')",5,495
444,"('흑미밥', '식혜', '고구마줄기나물무침')",5,497
445,"('흑미밥', '식혜', '시금치나물무침')",5,504
446,"('흑미밥', '식혜', '달걀프라이')",8,499
447,"('흑미밥', '식혜', '닭가슴살샐러드')",9,500
448,"('흑미밥', '식혜', '고구마맛탕')",12,496
449,"('흑미밥', '식혜', '채소샐러드')",10,505
450,"('흑미밥', '식혜', '쇠고기수육')",13,503
451,"('흑미밥', '찐감자', '과일샐러드')",8,520
452,"('흑미밥', '찐감자', '마늘쫑무침')",5,524
453,"('흑미밥', '찐감자', '두부조림')",6,523
454,"('흑미밥', '찐감자', '건취나물무침')",6,517
455,"('흑미밥', '찐감자', '고구마줄기나물무침')",5,519
456,"('흑미밥', '찐감자', '시금치나물무침')",5,526
457,"('흑미밥', '찐감자', '달걀프라이')",8,521
458,"('흑미밥', '찐감자', '닭가슴살샐러드')",9,522
459,"('흑미밥', '찐감자', '고구마맛탕')",13,518
460,"('흑미밥', '찐감자', '채소샐러드')",10,527
461,"('흑미밥', '찐감자', '쇠고기수육')",13,525
462,"('현미밥', '사과', '과일샐러드')",7,399
463,"('현미밥', '사과', '마늘쫑무침')",3,403
464,"('현미밥', '사과', '두부조림')",5,402
465,"('현미밥', '사과', '건취나물무침')",4,396
466,"('현미밥', '사과', '고구마줄기나물무침')",3,398
467,"('현미밥', '사과', '시금치나물무침')",3,405
468,"('현미밥', '사과', '달걀프라이')",7,400
469,"('현미밥', '사과', '닭가슴살샐러드')",9,401
470,"('현미밥', '사과', '고구마맛탕')",12,397
471,"('현미밥', '사과', '채소샐러드')",9,406
472,"('현미밥', '사과', '쇠고기수육')",12,404
473,"('현미밥', '포도', '과일샐러드')",8,454
474,"('현미밥', '포도', '마늘쫑무침')",4,458
475,"('현미밥', '포도', '두부조림')",6,457
476,"('현미밥', '포도', '건취나물무침')",5,451
477,"('현미밥', '포도', '고구마줄기나물무침')",5,453
478,"('현미밥', '포도', '시금치나물무침')",4,460
479,"('현미밥', '포도', '달걀프라이')",7,455
480,"('현미밥', '포도', '닭가슴살샐러드')",9,456
481,"('현미밥', '포도', '고구마맛탕')",12,452
482,"('현미밥', '포도', '채소샐러드')",9,461
483,"('현미밥', '포도', '쇠고기수육')",12,459
484,"('현미밥', '오렌지', '과일샐러드')",7,432
485,"('현미밥', '오렌지', '마늘쫑무침')",3,436
486,"('현미밥', '오렌지', '두부조림')",5,435
487,"('현미밥', '오렌지', '건취나물무침')",4,429
488,"('현미밥', '오렌지', '고구마줄기나물무침')",4,431
489,"('현미밥', '오렌지', '시금치나물무침')",4,438
490,"('현미밥', '오렌지', '달걀프라이')",7,433
491,"('현미밥', '오렌지', '닭가슴살샐러드')",9,434
492,"('현미밥', '오렌지', '고구마맛탕')",12,430
493,"('현미밥', '오렌지', '채소샐러드')",9,439
494,"('현미밥', '오렌지', '쇠고기수육')",12,437
495,"('현미밥', '딸기', '과일샐러드')",6,388
496,"('현미밥', '딸기', '마늘쫑무침')",3,392
497,"('현미밥', '딸기', '두부조림')",4,391
498,"('현미밥', '딸기', '건취나물무침')",3,385
499,"('현미밥', '딸기', '고구마줄기나물무침')",3,387
500,"('현미밥', '딸기', '시금치나물무침')",3,394
501,"('현미밥', '딸기', '달걀프라이')",6,389
502,"('현미밥', '딸기', '닭가슴살샐러드')",8,390
503,"('현미밥', '딸기', '고구마맛탕')",12,386
504,"('현미밥', '딸기', '채소샐러드')",9,395
505,"('현미밥', '딸기', '쇠고기수육')",12,393
506,"('현미밥', '수정과', '과일샐러드')",9,410
507,"('현미밥', '수정과', '마늘쫑무침')",6,414
508,"('현미밥', '수정과', '두부조림')",8,413
509,"('현미밥', '수정과', '건취나물무침')",7,407
510,"('현미밥', '수정과', '고구마줄기나물무침')",7,409
511,"('현미밥', '수정과', '시금치나물무침')",6,416
512,"('현미밥', '수정과', '달걀프라이')",9,411
513,"('현미밥', '수정과', '닭가슴살샐러드')",10,412
514,"('현미밥', '수정과', '고구마맛탕')",13,408
515,"('현미밥', '수정과', '채소샐러드')",10,417
516,"('현미밥', '수정과', '쇠고기수육')",13,415
517,"('현미밥', '식혜', '과일샐러드')",9,421
518,"('현미밥', '식혜', '마늘쫑무침')",6,425
519,"('현미밥', '식혜', '두부조림')",7,424
520,"('현미밥', '식혜', '건취나물무침')",7,418
521,"('현미밥', '식혜', '고구마줄기나물무침')",6,420
522,"('현미밥', '식혜', '시금치나물무침')",6,427
523,"('현미밥', '식혜', '달걀프라이')",9,422
524,"('현미밥', '식혜', '닭가슴살샐러드')",10,423
525,"('현미밥', '식혜', '고구마맛탕')",13,419
526,"('현미밥', '식혜', '채소샐러드')",10,428
527,"('현미밥', '식혜', '쇠고기수육')",13,426
528,"('현미밥', '찐감자', '과일샐러드')",9,443
529,"('현미밥', '찐감자', '마늘쫑무침')",6,447
530,"('현미밥', '찐감자', '두부조림')",8,446
531,"('현미밥', '찐감자', '건취나물무침')",7,440
532,"('현미밥', '찐감자', '고구마줄기나물무침')",7,442
533,"('현미밥', '찐감자', '시금치나물무침')",7,449
534,"('현미밥', '찐감자', '달걀프라이')",9,444
535,"('현미밥', '찐감자', '닭가슴살샐러드')",10,445
536,"('현미밥', '찐감자', '고구마맛탕')",13,441
537,"('현미밥', '찐감자', '채소샐러드')",10,450
538,"('현미밥', '찐감자', '쇠고기수육')",13,448
