,원 질병이름,사이트 질병 이름,진료과,동의어,정의
0,ACEI(혈압강하제) 복용으로 인한 증상,(ACEI side effect),순환기내과,ACEI 부작용,혈압 강하제 중 ACEI 복용 후 나타나는 부작용을 의미합니다.
1,간염,간염(Hepatitis),소화기내과,"간세포 염증,간염증",간염은 간세포 조직에 염증이 생긴 것을 의미합니다.
2,간질성 폐질환,미만성 간질성 폐질환(Diffuse Interstitial lung disease),호흡기내과,"간질성 폐질환,미만성 침윤성 폐질환,특발성 간질성 폐렴,폐섬유증,폐섬유화증","미만성 간질성 폐질환(DILD)은 폐간질에 침범되는 비종양성, 비감염성 질환을 총칭합니다. 폐간질(interstitium)이란 폐포벽을 이루는 조직을 말합니다. 이것은 폐포상피세포, 내피세포, 기저막, 이를 둘러싸는 결체 조직, 모세혈관, 림프관을 모두 포함합니다. 대부분 간질만이 아니라 그 주위의 조직과 폐포 내에도 병변을 동반합니다."
3,갈비연골염,갈비연골염,흉부외과,늑연골염,갈비연골염은 늑골과 흉골을 연결하는 갈비 연골에 염증이 생긴 것입니다.
4,감염성 관절염,감염성 관절염,류미티스과,관절염,감염성 관절염은 보통 박테리아나 경우에 따라 바이러스 또는 진균으로 인해 관절액과 조직에 발생하는 감염입니다.
5,감염성 기침,상기도 감염(Upper respiratory infections),"호흡기내과, 알레르기내과","common cold, 감기","상기도 감염은 코, 인두, 후두, 기관 등 상기도의 감염성 염증 질환을 의미합니다."
6,감염성 대장염,감염성 대장염,소화기내과,대장염,감염성 대장염은 바이러스나 세균 등에 의하여 대장에 발생하는 감염입니다.
7,갑상샘과다증,갑상선기능항진증,"가정의학과, 내분비내과, 내분비외과","갑상샘 기능 항진증,갑상샘항진증,갑상선 항진증",우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.
8,갑상선기능저하증,갑상선기능저하증(Hypothyroidism),내분비내과,"갑상샘기능저하,갑상샘저하증,갑상선기능저하,갑상선저하증",갑상선기능저하증은 우리 몸에 필요한 갑상선호르몬이 부족하여 나타나는 질환을 의미합니다.
9,갑상선기능항진증,갑상선기능항진증,"가정의학과, 내분비내과, 내분비외과","갑상샘 기능 항진증,갑상샘항진증,갑상선 항진증",우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.
10,강직성 척추염,강직성 척추염(Ankylosing spondylitis),"재활의학과, 류마티스내과","경직성 척추염,강직척추염","강직성 척추염은 척추의 주 병변이 특징인 만성 관절염의 일종입니다. 강직성에서 ‘강직’은 ‘뻣뻣해짐’ 또는 ‘굳는 것’을 의미하고, 척추염은 말 그대로 ‘척추에 염증이 생기는 것’을 의미합니다. 척추 외에 엉덩이, 무릎, 어깨 등의 관절에도 염증을 일으킬 수 있습니다. 여기서 염증은 통증, 부종, 뻣뻣한 느낌, 빨갛게 붓는 증상이 나타나는 현상을 말합니다. 척추에 염증이 생기면 척추뼈들이 같이 굳거나 일체가 되어 자라기 때문에 등이 뻣뻣해지기도 합니다.강직성 척추염은 경미한 경우부터 매우 심한 경우까지 종류가 다양합니다. 초기에 진단하여 적절히 치료하면 통증이나 뻣뻣함을 조절할 수 있어서 심각한 변형의 발생을 줄이거나 예방할 수 있습니다."
11,건선,건선(Psoriasis),피부과,"건선피부,건선피부염",건선은 피부에 경계가 뚜렷하며 다양한 크기의 은백색의 비늘로 덮여 있는 홍반성 구진 및 판이 형성되는 질환을 의미합니다. 악화와 호전이 반복되는 만성 염증성 피부 질환입니다. 조직학적인 특징은 상피의 과다 증식입니다. 다양한 임상 양상을 보입니다.
12,게실염,게실 질환(Diverticular disease),"소화기내과, 대장항문외과","게실병,게실염,게실증,대장 게실","게실 질환은 식도, 위, 소장, 대장의 약해진 장벽이 늘어나 꽈리 모양의 주머니가 생기는 것을 의미합니다. 게실 질환은 대부분 대장에 발생하며, 특히 우측 결장에 잘 생깁니다. 돌출되는 대장벽이 점막과 점막하층에 국한되는 경우를 ‘가성 게실’이라고 합니다. 가성 게실은 후천적으로 발생합니다. 여러 개의 게실이 나타나며, 주로 좌측 대장에서 발생합니다. 근육층을 포함한 장벽의 전층이 돌출되어 주머니를 형성하는 경우를 ‘진성 게실’이라고 합니다. 진성 게실은 선천적으로 발생하며 동양인에게서 흔히 발견됩니다. 또한 주로 한 개의 게실이 나타나는 경우가 많고, 대부분 우측 대장에 생깁니다. 게실이 있지만 특별한 문제를 일으키지 않으면 ‘게실증’, 게실에 대변이나 음식물 찌꺼기 등이 끼어 염증을 일으키면 ‘게실염’이라고 합니다."
13,결장암 / 직장암,결장암,"소화기내과, 종양내과, 방사선종양학과, 대장항문외과",결장직장암,결장암은 결장 내막에서 시작되는 암입니다.
14,결핵,결핵(Tuberculosis),"감염내과, 호흡기내과",결핵,결핵은 결핵균이 침입하여 발생하는 병입니다.
15,경부 종양,경부 종양,이비인후과,경부종괴,"경부종양은 대개 상기도감염, 결핵과 같은 염증성질환에 의해 이차적으로 발생합니다."
16,골관절염,골관절염(Osteoarthritis),"정형외과, 류마티스내과","DJD,degenerative arthritis,degenerative joint disease,퇴행성관절염","골관절염은 뼈의 관절면을 감싸고 있는 관절 연골이 마모되어 연골 밑의 뼈가 노출되고, 관절 주변의 활액막에 염증이 생겨서 통증과 변형이 발생하는 질환입니다. 흔히 퇴행성 관절염이라고도 불리우며 관절 질환 중에서 가장 많이 발생하는 질환입니다. 그러나 나이가 들면서 발생하는 질환은 아닙니다."
17,골반염,골반 염증성 질환(Pelvic inflammatory disease),산부인과,"PID,골반내염증,골반내염증질환,골반염","골반 염증성 질환은 질과 자궁 경관을 통해 세균이 침입하여 자궁 및 난관, 난소, 복강 내에 염증을 일으켜 발생하는 질환을 의미합니다."
18,공황장애,공황 장애(panic disorder),정신건강의학과,"공황발작, 우발적 발작성불안, 임소공포",공황 장애란 갑자기 극도의 두려움과 불안을 느끼는 불안 장애의 일종입니다.
19,과민성 대장증후군,자극성 장 증후군(Irritable bowel syndrome),소화기내과,과민성대장,자극성 장 증후군은 특별한 기질적 원인이 확인되지 않는 상태에서 만성적으로 지속되는 복통 및 배변 장애를 말합니다.
20,근근막 통증 증후군,근근막 통증 증후군(myofascial pain syndrome),재활의학과,"근막동통증후군,담,담 걸리다,담결림,담이 걸리다,담통증,발통증후군","근근막 통증 증후군은 근육의 외상이나 과다한 사용, 정신적 스트레스 등으로 인해 근육 또는 근막(근육을 둘러싸고 있는 얇고 투명한 막)에 통증 유발점이 발생하여 해당 근육의 통증과 이에 동반한 연관통, 운동 제한 등의 여러 증상이 발생하는 질환을 의미합니다. 흔히 ‘담에 걸렸다’라고 말하는 질환으로, 누구나 한 번쯤 걸리는 매우 흔한 질환입니다."
21,급성 간염,급성 간염(Acute hepatitis),"소화기내과, 간이식/간담도외과",A형 간염/B형감염/C형감염,급성 간염은 바이러스에 감염되어 간에 염증이 발생하는 바이러스성 급성 간염입니다.
22,급성 담낭염,급성 담낭염(Acute cholecystitis),"소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",급성 쓸개염,"급성 담낭염은 담석, 종양 혹은 담낭의 기능 이상 등으로 인해 담낭관이 부분적이거나 완전히 좁아지면서 담낭 내에 기계적, 화학적 또는 세균성 염증이 발생한 질환을 의미합니다."
23,급성 부비동염,부비동염(Sinusitis),"호흡기내과, 이비인후과, 알레르기내과","급성 부비강염,급성 부비동염,급성 축농증,부비강염,축농증","얼굴의 뼛속에는 몇 개의 빈 공간이 있습니다. 이러한 빈 공간을 '코 옆에 있는 동굴들'이라는 의미에서 부비동이라 합니다. 이 공간은 머리 뼛속에 있는 뇌를 외부의 충격으로부터 보호해 주는 역할을 합니다. 부비동염은 이러한 부비동이라는 빈 공간에 세균, 바이러스가 침투하여 염증이 발생한 질환을 의미합니다. 부비동염은 흔히 '축농증'이라고 불립니다. 부비동염은 증상과 기간에 따라 '급성 부비동염'과 '만성 부비동염'으로 구분됩니다."
24,급성 쓸개염,급성 담낭염(Acute cholecystitis),"소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",급성 쓸개염,"급성 담낭염은 담석, 종양 혹은 담낭의 기능 이상 등으로 인해 담낭관이 부분적이거나 완전히 좁아지면서 담낭 내에 기계적, 화학적 또는 세균성 염증이 발생한 질환을 의미합니다."
25,급성 유방염,급성 유성염,유방외과,유선염,유선염은 유방에 생기는 세균성 감염을 말합니다.
26,급성 충수염,급성 충수염(Acute appendicitis),"소아외과, 대장항문외과","급성 충수 돌기염,급성맹장염","급성 충수염은 맹장 끝 약 10cm 길이의 충수 돌기에 염증이 발생하는 것을 의미합니다. 맹장은 소장의 회장(ileum)이 끝나고 대장(결장, colon)이 시작되는 부위에 커다란 주머니 모양으로 연결된 부위입니다. 충수 돌기는 우측 하복부, 구체적으로 배꼽과 오른쪽 골반뼈가 튀어나온 사이에 위치합니다."
27,급성 췌장염,급성 췌장염(Acute pancreatitis),"소화기내과, 간담도췌외과",급성 췌장염,"급성 췌장염은 담석, 음주, 약물, 종양, 손상 등의 원인에 의해 췌장이 자가 소화되는 급성 염증성 질환을 의미합니다."
28,기관지 확장증,기관지확장증(Bronchiectasis),호흡기내과,기관지확장병,기관지확장증은 폐 속의 큰 기도인 기관지가 과거의 심한 호흡기계 염증으로 손상을 입어 영구적으로 확장됨으로써 객담 배출 기능이 약해진 상태를 의미합니다.
29,기능성 변비,변비(Constipation),소화기내과/노년내과/소아소화기영양과,변비,변비는 대장의 연동 운동이 저하되어 원활한 배변 운동을 하지 못하는 질환을 의미합니다.
30,기능성 소화불량,기능성 위장 장애(Functional Gastrointestinal Disorder),소화기내과,소화불량,"기능성 위장 장애는 특별한 원인 없이 소화불량, 속 쓰림, 더부룩함, 구토, 부글거림 등 여러 가지 위장관 증상이 3개월 이상 지속되는 만성 질환을 의미합니다."
31,기립성 저혈압(혈량저하증 동반 가능),기립성 저혈압,심장내과/심장병원,저혈압,갑자기 앉았다가 일어서거나 누워 있다가 벌떡 일어날 때 순간적으로 혈압이 낮아지고 뇌 혈류가 떨어지면서 어지러워지는 것입니다.
32,기흉,공기가슴증(기흉)(Pneumothorax),"호흡기내과, 흉부외과","기흉,폐기흉","공기가슴증, 즉 기흉은 폐에 생긴 구멍으로 공기가 새면서 늑막강 안에 공기가 차는 질환을 의미합니다. 새는 공기의 양이 증가할수록 폐가 정상 기능을 하지 못합니다. 흉강 안으로 유입되는 공기가 배출되지 않는 경우 양쪽 폐와 심장 사이의 공간과 심장이 한쪽으로 쏠려 응급상황이 발생할 수 있습니다."
33,난소 염전,난소 염전(Ovarian torsion),산부인과,"난소 꼬임, 난소 비틀림",난소가 인대 지지대에서 완전히 또는 부분적으로 회전하여 꼬임과 허혈을 유발하는 것을 난소 염전이라고 합니다.
34,뇌수막염,결핵성 수막염(Tuberculous meningitis),"감염내과, 신경과",결핵성 뇌수막염,"결핵성 수막염은 결핵균이 뇌척수막을 침입하여 염증을 일으키는 질환입니다. 몸속에 결핵균을 보유한 환자의 결핵균이 뇌를 둘러싼 수막으로 이동하여 발생한다고 알려져 있습니다.대개 신체 면역력을 감소시키는 여러 가지 요인을 보유한 알코올 중독, 당뇨병, 악성 종양 등의 환자에게서 잘 발병합니다. 특히 후천성 면역결핍 증후군 환자가 일생 동안 결핵성 수막염에 감염될 확률이 1/3 정도로 추정됩니다."
35,뇌척수액 비루,뇌척수액 비루(cerebrospinal fluid rhinorrhea),신경외과,업데이트 예정,"뇌척수액 비루란 뇌척수액이 마치 콧물처럼 코로 새어나오는 질환입니다. 맑고 물 같은 콧물이 계속 나오며, 아랫배에 힘을 주었을 때 더 많이 나온다면 뇌척수액비루일 가능성이 있습니다."
36,뇌출혈 / 지주막하출혈,뇌출혈(Cerebral hemorrhage),"신경과, 신경외과, 재활의학과","뇌 내 출혈,뇌실질내출혈,뇌일혈,출혈성 뇌졸중",뇌출혈(Cerebral hemorrhage)이란 뇌혈관 벽의 약한 부분이 터져 출혈이 생김으로써 발생하는 뇌혈관 장애를 의미합니다.
37,다낭성 난소 증후군,다낭성 난소 증후군(Polycystic ovary syndrome),산부인과,다낭성난소증,"다낭성 난소 증후군은 시상하부-뇌하수체-난소의 호르몬 이상으로 난소의 남성 호르몬 분비가 증가하여 배란이 잘 이루어지지 않아 월경 불순, 다모증, 비만, 불임이 발생하고, 장기적으로 대사 증후군과 연관되는 질환을 의미합니다. 이 질환에는 인슐린 저항성 또는 고인슐린혈증이 동반될 수 있습니다."
38,단장 증후군,단장 증후군(Short Bowel Syndrome),소화기내과,"작은창자증후군,짧은 창자증후군",단장 증후군은 소장이 짧아 영양소의 소화 흡수 기능이 저하됨으로써 발생하는 여러 가지 대사 이상을 의미합니다. 발병 유형에 따라 선천성과 후천성으로 구분합니다. 선천성은 태아가 짧은 소장을 갖고 태어나는 것을 의미합니다. 후천성은 다른 질병이나 외상으로 인해 잘라내고 남은 소장의 길이가 너무 짧아 장애를 일으키는 것을 의미합니다.
39,"담낭염, 만성 담낭염",만성 담낭염(Chronic cholecystitis),"소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","담낭염,담낭염증,쓸개염,쓸개염증",만성 담낭염은 담낭의 만성적인 염증 질환을 말하며 대부분 담석증 때문에 발생하게 됩니다.
40,당뇨병,당뇨병(Diabetes mellitus),"가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과",당뇨,"당뇨병은 소변으로 포도당이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 '인슐린'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 제대로 일을 못 하는 상태가 되면 혈당이 상승하며, 이로 인해 혈당이 지속적으로 높은 상태가 됩니다. 이러한 상태를 당뇨병이라고 합니다. 우리나라의 당뇨병 유병률은 경제가 발전하고 생활 양식이 서구화됨에 따라 증가하는 추세입니다."
41,당뇨성 마비,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
42,대동맥 박리,대동맥 박리(Aortic dissection),"심장내과, 심장병원","대동맥 박리증,박리성 대동맥류","대동맥은 꽤 튼튼하고 두꺼운 관으로, 가장 안쪽의 내막(intima), 주로 근육으로 이루어진 중막(media), 가장 바깥쪽의 외막(adventitia)의 세 겹의 벽으로 구성되어 있습니다. 대동맥 박리는 어떤 원인에 의해 대동맥의 내막이 찢어지면서(intimal tear) 대동맥 내강(lumen) 안에 있는 혈액이 대동맥 중막으로 파급되고, 대동맥 벽이 파급된 혈액에 의해 내층과 외층으로 분리되는 질환을 의미합니다. 대동맥 박리가 시작된 지 2주 이내의 상태를 급성 대동맥 박리라고 하며, 그 이후의 상태를 만성 대동맥 박리라고 합니다."
43,대상포진,대상포진(Herpes zoster),피부과,"Zoster,shingles","대상포진은 수두-대상포진 바이러스(varicella-zoster virus, VZV)가 소아기에 수두를 일으킨 후 신경 주위에 무증상으로 남아 있다가, 수두-대상포진 바이러스에 대한 면역력이 떨어질 때 신경을 타고 나와 피부에 발진을 일으키면서 심한 통증을 유발하는 질환을 의미합니다."
44,"독성 간염(약물, 독극물)",독성 간염(Toxic hepatitis),소화기내과,"약물 유인성 간염, 약인성 간염","독성 간염은 장기간 혹은 단기간의 한약, 양약, 건강기능식품 등과 같은 약제의 복용, 화학 물질의 흡인, 주사 등으로 인해 발생하는 간 기능의 손상을 의미합니다."
45,루푸스 관절염,전신 홍반성 낭창(Systemic lupus erythematosus),"신장내과, 소아신장과, 류마티스내과","낭창,루퍼스,루푸스,루프스,전신성 에리테마토우시스",전신 홍반성 낭창은 주로 가임기를 포함한 젊은 여성에게 발병하는 대표적인 만성 자가면역 질환입니다. 정확한 이름은 전신성 홍반성 루푸스입니다.
46,류마티스 관절염,류마티스 관절염(Rheumatoid arthritis),류마티스내과,"류마토이드관절염,류마토이드성관절염,류머토이드관절염,류머토이드성관절염,류머티스 관절염,류머티스관절,류머티스성 관절염","류마티스 관절염은 관절 주위를 둘러싸고 있는 활막이라는 조직의 염증으로 인해 발생하는 질환입니다. 이 질환은 활막이 존재하는 모든 관절, 즉 움직일 수 있는 거의 모든 관절에서 발생할 수 있습니다. 수개월에서 수년에 걸쳐 진행되는 만성 질환입니다. 류마티스 관절염이 발생하는 전형적인 연령층은 30대 전후의 여성입니다. 그러나 남성에게도 발생할 수 있고, 소아부터 노인에 이르는 모든 연령층에서 발생할 수 있습니다. 우리나라 인구의 약 1%가 류마티스 관절염을 겪고 있습니다. 매년 류마티스 관절염을 겪는 사람들이 많아지리라 추정됩니다."
47,리팜핀 복용으로 인한 증상,리팜핀 부작용(Rifampin side effect)?,"감염내과, 호흡기내과(결핵), 신장내과",업데이트 예정,"소변, 땀, 눈물 등이 붉은 색으로 변할 수 있으나, 완치 후 약 복용을 중단하면 바로 회복될 수 있는 정상적인 반응입니다."
48,만성 기관지염,만성 기관지염(Chronic bronchitis),"호흡기내과, 알레르기내과",만성폐색성기관지염,"만성 기관지염은 기관이나 기관지 내에 기침을 일으킬 정도로 많은 양의 점액이 생산되는 상태로, 보통 기침·가래가 1년 중 3개월 이상 지속되고 이러한 현상이 최소한 2년 이상 이어지는 경우를 의미합니다. 만성 기관지염은 오래 지속되는 감기나 흡연으로 인해 발생할 수 있습니다."
49,만성 신부전,만성 신부전(Chronic renal failure),"신장내과, 소아청소년심장과, 신ㆍ췌장이식외과",만성콩팥기능상실증,"만성 신부전은 노폐물을 제거하는 신기능이 감소하여 정상으로 회복될 수 없는 단계의 질환을 의미합니다. 즉, 신장이 제 기능을 유지하지 못하는 상태를 말합니다. 남아 있는 신장 기능은 시간이 경과하면서 점차 저하되어 결국은 신 대체 요법(투석이나 신이식술)이 필요한 말기 신 질환으로 진행합니다."
50,만성 췌장염,만성 췌장염(Chronic pancreatitis),"소화기내과, 간담도췌외과",재발성 췌장염,"만성 췌장염은 만성적인 췌장의 염증으로 인해 췌장의 외분비 및 내분비 기능이 저하되고, 섬유화가 진행되며, 췌관의 불규칙적인 확장이 일어나는 질환을 말합니다."
51,만성 폐쇄성 폐질환,만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease),"호흡기내과, 알레르기내과",COPD,"만성 폐쇄성 폐질환은 '담배를 피우던 사람이 중년 이후부터 서서히 숨이 차는 증상'이 나타나는 질환으로, 나이가 많고 오랜 기간 담배를 피운 사람에게 잘 발생합니다. 이 질환의 특징은 숨이 차는 증상이 서둘러 걷거나 비탈길을 오를 때 심하고, 평상시에 이 증상이 덜한 것입니다. 대표적인 증상으로는 기침, 기침 발작 후 소량의 끈끈한 객담 배출, 지속적으로 진행하면서 점차 악화하는 호흡 곤란, 천명음과 흉부 압박감 등이 있습니다. 이 질환의 약어인 COPD는 '만성 폐쇄성 폐질환(Chronic Obstructive Pulmonary Disease)'의 영문 표기의 앞머리 글자만을 따온 용어입니다. 만성 폐쇄성 폐질환은 서서히 진행됩니다. 처음에는 간혹 가벼운 호흡 곤란과 기침이 나타납니다. 병이 진행되면서 호흡 곤란이 심해집니다. 말기에 이르면 심장 기능도 떨어집니다."
52,목 삠,염좌(sprain),정형외과,삠,염좌는 인대가 사고나 외상 등에 의해 손상된 것을 의미합니다.
53,"바이러스성 발진(홍역, 수두 등)",홍역(Measles),"감염내과, 소아청소년과",업데이트 예정,홍역은 홍역 바이러스에 의한 감염으로 발생하며 우리나라에서 제2군 법정 전염병으로 분류되어 있습니다. 감염력이 매우 높으며 주로 침 등을 통해 전파됩니다. 한 번 걸린 뒤에는 평생 다시 걸리지 않습니다.
54,반응성 관절염,반응성 관절염(Reactive arthritis),"류마티스내과, 정형외과        ",업데이트 예정,"반응성 관절염은 시겔라(shigella, 이질균), 예르시니아(yersinia), 클라미디아(chlamydia), 살모넬라(salmonella, 장티푸스균), 캄필로박터(campylobacter) 등에 의해 위장관 혹은 비뇨생식기계 감염증이 생긴 이후 발생하는 염증성 척추관절병증의 하나입니다."
55,발작심실상성 빈맥,발작성 상심실성 빈맥(Paroxysmal Supraventricular Tachycardia)        ,순환기내과 ,"PSVT,발작성 심실상성 빈맥,방실결절 회귀성 빈맥","발작성 상심실성 빈맥은 포괄적인 의미로는 심방에서 발생하는 모든 빈맥을 포함하나, 좁게는 방실결절(atrioventricular node)을 이용한 방실결절 회귀성 빈맥과 방실결절 및 우회로를 이용한 방실 회귀성 빈맥을 말합니다. 발작성 심실상성 빈맥, PSVT라고도 합니다. 발작성 상심실성 빈맥은 아이에서 성인에게까지 연령과 관계없이 발생합니다. 심장이 150에서 200번까지 규칙적으로 박동하는 것이 특징입니다."
56,배뇨 실신,배뇨 실신(Micturition Syncope),순환기내과,배뇨실신증,"배뇨실신증이란 주로 전날 과음하고 다음날 아침 소변을 볼 때나, 노인이 야간에 일어나서 배뇨할 때 발생하는 실신 발작을 말합니다. 배뇨실신증의 정확한 원인은 밝혀지지 않았지만, 고혈압이나 당뇨병, 이상지질혈증 등 심혈관질환을 앓는 사람에게 자주 발생하는 것으로 알려졌습니다."
57,베체트병,베체트 병(Behcet's disease),"소화기내과, 류마티스내과","베체트,베체트 증후군,베체트씨병",베체트 병은 전신의 혈관에 염증이 발생하는 질환 중 하나입니다.
